id,name,brand,imageurls,specification1,specification2,specification3,specification4,specification5,description,avgprice,category
1S,iPhone 13,Apple,https://lcdn.altex.ro/resize/media/catalog/product/T/e/2bd48d28d1c32adea0e55139a4e6434a/Telefon_APPLE_iPhone_13_5G_128GB_Midnight_4_.jpg,Camera: 12MP + 12MP,Display: 6.1 inches,Apple a15 Bionic, Capacitate: 128GB,Gorilla Glass,"{iPhone 13 este unul dintre cele mai populare modele din seria telefoanelor iPhone 13, alături de iPhone 13 mini, iPhone 13 Pro și iPhone 13 Pro Max. Calitățile lui iPhone 13 sunt impresionante, ceea ce îl face foarte cerut în rândul clienților.}",900$,smartphone
2S,Samsung Galaxy S22 Plus,Samsung,https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s22-plus-5g-2.jpg,Gorilla Glass Victus+,Display: 6.6 inches,8GB RAM,Camera: 50MP + 10MP + 12 MP,Cititor de amprente,"{Samsung Galaxy S22+ este cel mai nou-lansat smartphone cu dual sim, care dispune și de un design plăcut ce cuprinde caracteristici clare și specificații decente. Telefonul poate fi achiziționat în mai multe culori: Green, Phantom Black și Phantom white.}",1000$,smartphone
3S,iPhone 13 Pro,Apple,https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-13-pro-01.jpg,Gorilla Glass,Camera: 12MP + 12MP + 12MP,Display: 6.1 inches,Apple A15 Bionic,Capacitate: 128GB,"{iPhone 13 Pro este unul dintre cele mai recent lansate smartphone-uri din seria iPhone 13. Telefonul dispune de un design din oțel inoxidabil cu o protecție ceramică în față și o sticlă texturată pe spate. Ecranul OLED de 6.1 inches dispune de o rezoluție de 2532x1170 pixeli, astfel că experiența vizuală este una net superioară.}",1100$,smartphone
4S,iPhone 13 Pro Max,Apple,https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-13-pro-max-01.jpg,Dual Sim,Camera: 12MP + 12MP + 12MP,Display: 6.7 inches,Apple A15 Bionic,Capacitate: 128GB,"{Echipat cu tehnologii de vârf, iPhone 13 Pro Max este cel mai performant smartphone din seria iPhone 13. Acesta dispune de conectivitate 5G și este rezistent atât la apă, cât și la praf. Greutate de 238g este una surprinzătoare de mică pentru iPhone 13 Pro Max, având în vedere dimensiunile sale generoase: 160.8 mm x 78.1 mm x 7.65 mm.}",1300$,smartphone
5S,iPhone 13 mini,Apple,https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-13-mini-3.jpg,Camera: 12MP + 12MP,Display: 5.4 inches,Apple A15 Bionic,Greutate: 140g,Capacitate: 128GB,"{iPhone 13 mini este cel mai mic model din seria iPhone 13, dar dispune totuși de același design impecabil. Telefonul este disponibil și în varianta dual-sim, ceea ce facilitează folosirea lui. iPhone 13 mini beneficiază de un display OLED cu o rezoluție de 2340x1080, calitate cel mai bine observată în timpul vizionării filmelor sau a jocurilor video.}",800$,smartphone
6S,Samsung Galaxy S22 Ultra,Samsung,https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s22-ultra-5g-2.jpg,Camera: 108 MP + 12 MP + 10 MP + 10 MP,Display: 6.8 inches,12GB RAM, Qualcomm SM8450 Snapdragon 8 Gen 1,Baterie: 5000 mAh,"{Dă un upgrade prin a îți cumpăra noul Samsung Galaxy S22 Ultra. Camera sa te ajută să obții cele mai detaliate și extraordinare fotografii de până acum. Jocurile video devin cu siguranță mult mai interesante acum, pe un display de 17.27 cm ce dispune de o rezoluție de 1440x3080 pixeli. În ciuda dimensiunilor sale, Galaxy S22 Ultra cântărește doar 229 de grame.}",1200$,smartphone
7S,Google Pixel 6,Google,https://fdn2.gsmarena.com/vv/pics/google/google-pixel-6-1.jpg,Camera: 50MP + 12MP,Display: 6.4 inches,Google Tensor,8GB RAM,Capacitate: 256GB,"{Google Pixel 6 nu are doar un design deosebit, ci și un set de caracteristici impresionante. Pentru acest smartphone, bateria nu reprezintă o problemă, capacitatea acesteia fiind de 4614 mAh. Pe lângă toate opțiunile de conectivitate disponibile, Pixel 6 se poate mândri că este compatibil 5G.}",600$,smartphone
8S,Samsung Galaxy Z Flip 3,Samsung,https://lcdn.altex.ro/resize/media/catalog/product/T/e/2bd48d28d1c32adea0e55139a4e6434a/Telefon_SAMSUNG_Galaxy_Z_Flip3_5G_128GB_8GB_RAM_Dual_SIM_Cream_1_.jpg,Display principal: 6.7 inches,Display secundar: 1.9 inches,Qualcomm Snapdragon 888,Camera: 12MP + 12MP,8GB RAM,"{Se pliază în buzunar. Încape în poșetă. Încape în blugii tăi cei mai strâmți. Apoi îl poți scoate și se extinde într-un smartphone 5G cu ecran complet și se flexează în unghiurile preferate. Dacă pare că am încercat să regândim telefonul, este adevărat. Acum are mai multă personalitate.}",800$,smartphone
9S,OnePlus Nord N20 5G,OnePlus,https://fdn2.gsmarena.com/vv/pics/oneplus/oneplus-nord-n20-5g-3.jpg,Camera: 48MP + 2MP + 2MP,Display: 6.43 inches,Qualcomm Snapdragon,6GB RAM,Baterie: 4500 mAh,"{OnePlus Nord N20 dispune, desigur, de 5G, dar asta cu siguranță nu este principala sa caracteristică. Te poți bucura atât de viteză, cât și de un spațiu generos de stocare, deoarece telefonul vine cu 6GB RAM și o memorie internă de 128GB, perfectă pentru salvarea cântecelor, pozelor și filmulețelor preferate.}",300$,smartphone
10S,Google Pixel 5A,Google,https://fdn2.gsmarena.com/vv/pics/google/google-pixel-5a-5g-01.jpg,6GB RAM,Display: 6.0 inches,Qualcomm Snapdragon 765G,Capacitate: 128GB,Baterie: 4000 mAh,"{Pixel 5A dispune de caracteristici impresionante și de specificații mai mult decât decente. Telefonul este o alegere perfectă, având în vedere prețul său. Pixel 5A este un smartphone foarte ușor, potrivit pentru oricine.}",400$,smartphone
